ccg_code,ccg_name,ccg_patient_count,ccg_scrips_per_head,ccg_spend_per_head,ccg_scrips_drift
04Q,NHS South West Lincolnshire CCG,104115.0,0.002718148201507948,0.11377909042885266,1.532917386951471
04R,NHS Southern Derbyshire CCG,413961.0,0.0020485021535845164,0.0875633694961602,1.5466640588907303
04V,NHS West Leicestershire CCG,292840.0,0.002083048763830078,0.08614779401721075,1.54595487689954
04X,NHS Birmingham South and Central CCG,185324.0,4.2088450497507066E-4,0.021471153223543635,1.580076226299715
04Y,NHS Cannock Chase CCG,102246.0,0.0018778240713573147,0.05876102732625236,1.5501677838972097
05A,NHS Coventry and Rugby CCG,360985.0,0.001141321661564885,0.05484502126127122,1.5652869009909134
05C,NHS Dudley CCG,250159.0,0.002794222874251976,0.11464636491191596,1.5313557058628697
05D,NHS East Staffordshire CCG,106340.0,8.463419221365431E-4,0.035393078803836756,1.5713423234327006
05F,NHS Herefordshire CCG,149031.0,0.0014560728975850663,0.06890405351906652,1.5588256040154993
05G,NHS North Staffordshire CCG,166227.0,3.549363220174821E-4,0.016293863211151016,1.5814300281162412
05H,NHS Warwickshire North CCG,147421.0,0.0011735098798678614,0.07146125721572912,1.5646261326959428
05J,NHS Redditch and Bromsgrove CCG,135026.0,0.0015478500436952884,0.08369736198954271,1.556941578382837
05L,NHS Sandwell and West Birmingham CCG,405504.0,0.001462377683080808,0.05600033538510099,1.558696177704202
05N,NHS Shropshire CCG,243102.0,0.001575470378688781,0.07155831708500962,1.5563745808097378
05P,NHS Solihull CCG,186319.0,0.0013578862059156608,0.05625706449691116,1.5608412065018664
05Q,NHS South East Staffs and Seisdon Peninsular CCG,168479.0,0.0012405106867918257,0.05733034977652999,1.563250722335043
05R,NHS South Warwickshire CCG,221203.0,0.0018082937392350014,0.06113990316587027,1.5515951210232588
05T,NHS South Worcestershire CCG,234038.0,0.0024568659790290466,0.1136606875806492,1.5382810578147819
05V,NHS Stafford and Surrounds CCG,117347.0,6.476518360077377E-4,0.028750372825892438,1.5754210862956575
05W,NHS Stoke on Trent CCG,215439.0,3.6669312427183563E-4,0.01725147257460349,1.5811886813567906
05X,NHS Telford and Wrekin CCG,134097.0,0.0020283824395773207,0.10052573883084634,1.5470770817239516
05Y,NHS Walsall CCG,206247.0,0.0024630661294467314,0.10610738580439955,1.5381537794801596
06A,NHS Wolverhampton CCG,204901.0,0.0017715872543325802,0.08494121551383353,1.5523486414950987
06D,NHS Wyre Forest CCG,90218.0,0.0016958921722937774,0.09573300228335813,1.5539025302448783
06F,NHS Bedfordshire CCG,338882.0,0.0023400475681800747,0.09390132848602163,1.540679137181316
06H,NHS Cambridgeshire and Peterborough CCG,675672.0,0.002147491682354752,0.08652605110171795,1.5446319755511122
06K,NHS East and North Hertfordshire CCG,444661.0,0.0015652373381070074,0.06775240014303029,1.556584647384841
06L,NHS Ipswich and East Suffolk CCG,310118.0,0.0013124036657014427,0.055420872055153184,1.5617748841681918
06M,NHS Great Yarmouth and Waveney CCG,189366.0,0.003390260131174551,0.13853495347633665,1.5191200947368146
06N,NHS Herts Valleys CCG,466617.0,0.001382289972289908,0.06511337992400619,1.5603402395037496
06P,NHS Luton CCG,156631.0,0.0016663368043363064,0.06431638692212908,1.554509250688634
06Q,NHS Mid Essex CCG,301985.0,0.0023610444227362285,0.10102905773465568,1.540248108173925
06T,NHS North East Essex CCG,263332.0,0.001686084486503729,0.07054209135236127,1.5541038650238368
06V,NHS North Norfolk CCG,139856.0,0.003410650955268276,0.1420092809747168,1.5187015064837266
06W,NHS Norwich CCG,167174.0,0.004934977927189635,0.20624714369459363,1.4874097175212635
06Y,NHS South Norfolk CCG,176910.0,0.002741506980950766,0.11484856706800053,1.5324378717226457
07G,NHS Thurrock CCG,124246.0,0.0030343029151843923,0.10819116913220547,1.5264272790139455
07H,NHS West Essex CCG,229117.0,0.0011173330656389531,0.04676894337827396,1.5657793452597923
07J,NHS West Norfolk CCG,134276.0,0.004483303047454497,0.15001958652328026,1.4966818194237201
07K,NHS West Suffolk CCG,190836.0,0.0017187532750634052,0.07063661992496174,1.5534332314549903
07L,NHS Barking and Dagenham CCG,142339.0,0.0013769943585384189,0.05542479573412763,1.5604489492694302
07M,NHS Barnet CCG,288647.0,0.0011848382280086056,0.05820587083877539,1.5643935813563397
07N,NHS Bexley CCG,179414.0,0.002340954440567626,0.09673604066572287,1.540660520664066
07P,NHS Brent CCG,283283.0,3.98894391827254E-4,0.02233939205670653,1.5805276451832995
07Q,NHS Bromley CCG,255750.0,0.0011925708699902248,0.05936954056695993,1.5642348436278417
07R,NHS Camden CCG,203003.0,9.113165815283517E-4,0.04505095983803192,1.5700085063665148
07T,NHS City and Hackney CCG,219452.0,7.792136777062866E-4,0.04205940251171099,1.5727203498645788
07V,NHS Croydon CCG,301680.0,0.0011203924688411562,0.041512397242110845,1.5657165410182365
07W,NHS Ealing CCG,299269.0,3.27464588714501E-4,0.015765348231858288,1.5819939751543666
07X,NHS Enfield CCG,211687.0,7.70004771195208E-4,0.038892374118391755,1.5729093927434543
07Y,NHS Hounslow CCG,205967.0,8.690712589880903E-4,0.03657105264435564,1.5708757295685778
08A,NHS Greenwich CCG,212653.0,0.0010204417525264164,0.06261233088646766,1.5677683558710733
08C,NHS Hammersmith and Fulham CCG,157333.0,8.008491543414287E-4,0.04784972002059326,1.5722762110535229
08D,NHS Haringey CCG,220815.0,3.9399497316758373E-4,0.030232774041618553,1.5806282217509002
08E,NHS Harrow CCG,187967.0,0.001580064585804955,0.07140263982507572,1.5562802697057705
08F,NHS Havering CCG,204491.0,0.00209789183876063,0.09193265229276595,1.545650174314834
08G,NHS Hillingdon CCG,214206.0,9.75696292354089E-4,0.04444758783600832,1.5686869025625199
08H,NHS Islington CCG,175636.0,7.116991960645882E-4,0.03921109567514631,1.5741063050765232
08J,NHS Kingston CCG,149041.0,0.001476103890875665,0.06862930334605913,1.5584144024647137
08K,NHS Lambeth CCG,307823.0,6.919560916500716E-4,0.031855611828875675,1.574511596767993
08L,NHS Lewisham CCG,234814.0,0.0011881744700060473,0.06909634859931689,1.5643250940944629
08M,NHS Newham CCG,271513.0,8.949847705266414E-4,0.03586944271545009,1.5703437701207184
08N,NHS Redbridge CCG,213037.0,6.900209822706854E-4,0.035127278360097054,1.5745513212073257
08P,NHS Richmond CCG,157999.0,0.0013417806441812924,0.05116488079038472,1.5611718257510152
08Q,NHS Southwark CCG,260188.0,7.417713345734623E-4,0.036603225360124225,1.5734889762296265
08R,NHS Merton CCG,168414.0,8.609735532675431E-4,0.04038821000629399,1.5710419614224747
08T,NHS Sutton CCG,142037.0,0.0017460239233439174,0.06912600237966164,1.552873412343617
08V,NHS Tower Hamlets CCG,209768.0,5.291560199839823E-4,0.022473399183860265,1.5778535998811625
08W,NHS Waltham Forest CCG,221026.0,5.203007790938622E-4,0.03148335489942358,1.5780353826182323
08X,NHS Wandsworth CCG,300906.0,0.0012329431782682964,0.07005410327477679,1.5634060701600516
08Y,NHS West London (K&C & QPP) CCG,200588.0,6.381239156878776E-4,0.03475551877480206,1.5756166779747343
09A,NHS Central London (Westminster) CCG,166138.0,9.449975321720497E-4,0.047931719413981146,1.5693170948655628
09C,NHS Ashford CCG,95496.0,6.178269246879451E-4,0.043595857418111755,1.5760333399971498
09D,NHS Brighton and Hove CCG,246425.0,0.0012052348584762097,0.05084021507558079,1.5639748739084665
09E,NHS Canterbury and Coastal CCG,170878.0,7.666288229028898E-4,0.04892461288170506,1.5729786951066986
09F,"NHS Eastbourne, Hailsham and Seaford CCG",152396.0,0.001332055959474002,0.054810493713745766,1.5613714566617007
09G,NHS Coastal West Sussex CCG,395188.0,0.0018472220816421552,0.08338651477271573,1.5507959896704047
09H,NHS Crawley CCG,97051.0,0.0027614347095856816,0.11482560715500095,1.532028790016141
09J,"NHS Dartford, Gravesham and Swanley CCG",191882.0,0.004429805818159077,0.17556039649367824,1.497780024756319
09L,NHS East Surrey CCG,129916.0,9.852520089904246E-4,0.052069106191693075,1.568490740273275
09N,NHS Guildford and Waverley CCG,171928.0,0.00224512586664185,0.09686386161649063,1.5426277150830425
09P,NHS Hastings and Rother CCG,147619.0,0.0014835488656609244,0.05931987074834536,1.5582615700448312
09W,NHS Medway CCG,216659.0,0.006170987588791603,0.2643430459847039,1.4620365828862032
09X,NHS Horsham and Mid Sussex CCG,178339.0,0.0019569471624266144,0.0873797655027784,1.5485435240675238
09Y,NHS North West Surrey CCG,280371.0,0.003167231989043089,0.1549360668542752,1.5236984756779268
10A,NHS South Kent Coast CCG,158284.0,7.89719744257158E-4,0.04970287584342067,1.572504678539862
10C,NHS Surrey Heath CCG,72551.0,0.0024672299485878897,0.09763848878719791,1.5380683034948603
10D,NHS Swale CCG,83012.0,0.011697104033151834,0.5413464318411791,1.3485949967014783
10E,NHS Thanet CCG,111096.0,0.0012871750558075899,0.055401544610066966,1.562292783773169
10G,NHS Bracknell and Ascot CCG,105928.0,0.001840873045842459,0.07851672834378065,1.5509263243636948
10H,NHS Chiltern CCG,253062.0,0.0016122531237404273,0.06642494724612936,1.555619494849299
10J,NHS North Hampshire CCG,168882.0,0.001646119775938229,0.08399864994493192,1.5549242712175193
10K,NHS Fareham and Gosport CCG,160950.0,3.5414725069897484E-4,0.016605529667598633,1.581446226381856
10L,NHS Isle of Wight CCG,117428.0,0.0022311544095105084,0.09494600946963244,1.542914524866052
10M,NHS Newbury and District CCG,89777.0,0.001782193657618321,0.07647159071922653,1.5521309104312377
10N,NHS North & West Reading CCG,84359.0,0.0017781149610592824,0.07485508363067367,1.5522146389975613
10Q,NHS Oxfordshire CCG,548978.0,0.0013552455653960632,0.05970980622174294,1.5608954142718443
10R,NHS Portsmouth CCG,171378.0,3.2092800709542646E-4,0.016853330065702717,1.582128159838052
10T,NHS Slough CCG,103562.0,6.759236013209478E-4,0.029300708754176237,1.574840715987926
10V,NHS South Eastern Hampshire CCG,168161.0,9.098423534588876E-4,0.041205095117179374,1.5700387697119005
10W,NHS South Reading CCG,100369.0,0.002092279488686746,0.08862656796421205,1.5457653861278706
10X,NHS Southampton CCG,213671.0,0.0016005915636656354,0.08220469787664211,1.55585888645199
10Y,NHS Aylesbury Vale CCG,156171.0,9.86098571437719E-4,0.047162661441624856,1.568473361814498
11A,NHS West Hampshire CCG,437677.0,0.0016564726956180013,0.0823828759564701,1.5547117437324507
11C,"NHS Windsor, Ascot and Maidenhead CCG",119827.0,0.0017859080173917399,0.06862535154848241,1.5520546610672221
11D,NHS Wokingham CCG,122029.0,0.0010243466716927942,0.044861713199321446,1.567688194653224
11E,NHS Bath and North East Somerset CCG,159904.0,8.942865719431659E-4,0.031207036722033208,1.5703581029266913
11H,NHS Bristol CCG,376986.0,0.0011034892542428631,0.05087074851586001,1.566063534697244
11J,NHS Dorset CCG,619106.0,0.0020658820945040107,0.10402661256715304,1.5463072788471763
